shopTitle,price,title,auction,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size
iPhone渠道批发商 诚信商家,4338.00,Apple/苹果<span class=H>iPhone</span><span class=H>15</span>proMax国行正品苹果<span class=H>15</span>pro全网通<span class=H>iPhone</span><span class=H>15</span>手机,item.taobao.com/item.htm?id=770274510452&ns=1&abbucket=15#detail,770274510452,3人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
华佳数码,5088.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行双卡5G 苹果<span class=H>15</span>plus国行正品新款,item.taobao.com/item.htm?id=770266378865&ns=1&abbucket=15#detail,770266378865,4人付款,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800万,20W,
iPhone优品店,4398.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>苹果<span class=H>15</span>promax国行苹果<span class=H>15</span>pro苹果<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=775191277778&ns=1&abbucket=15#detail,775191277778,19人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
盈利数码通,5150.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行<span class=H>15</span>ProMax苹果十五新款5G双卡手机,item.taobao.com/item.htm?id=770984830845&ns=1&abbucket=15#detail,770984830845,0人付款,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800万,30W,
天使皇冠,5199.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 支持移动联通电信5G 双卡双待手机,item.taobao.com/item.htm?id=772441011337&ns=1&abbucket=15#detail,772441011337,300+人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
机多多科技,6290.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max 国行正品全网通5G手机苹果<span class=H>15</span> Plus,item.taobao.com/item.htm?id=777927021271&ns=1&abbucket=15#detail,777927021271,37人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
天诺数码 十年老店,6249.00,Apple/苹果<span class=H>iPhone</span><span class=H>15</span>ProMax国行正品<span class=H>iPhone</span><span class=H>15</span>全网通苹果<span class=H>15</span>pro手机,item.taobao.com/item.htm?id=777730888618&ns=1&abbucket=15#detail,777730888618,16人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
果品 Store,4446.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通5G手机原装国行,item.taobao.com/item.htm?id=769938068931&ns=1&abbucket=15#detail,769938068931,8人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
JK苹果,3850.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 全新未激活,item.taobao.com/item.htm?id=742297180643&ns=1&abbucket=15#detail,742297180643,2人付款,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800万,18W,
北京聚美特数码,4778.00,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 手机 <span class=H>iphone</span><span class=H>15</span>全网通5G国行正品 现货,item.taobao.com/item.htm?id=739059167388&ns=1&abbucket=15#detail,739059167388,2人付款,北京,0,0,1,0,1,A16 仿生芯片,4800万,20W,
小黄鸭数码,7599.00,现货速发Apple/苹果 <span class=H>iPhone</span><span class=H>15</span>ProMax正品苹果<span class=H>15</span>全网通<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=740204055159&ns=1&abbucket=15#detail,740204055159,1人付款,广东 深圳,1,0,1,0,0,A17 Pro 芯片,4800万,20W,
iPhone优品店,6358.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>ProMax国行全网通苹果<span class=H>15</span>pro苹果<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=778081855053&ns=1&abbucket=15#detail,778081855053,3人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
开铭数码,5249.00,2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max国行官方官网旗舰全网通5G,item.taobao.com/item.htm?id=774058429470&ns=1&abbucket=15#detail,774058429470,10人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
淘宝珍库3C数码馆,4688.00,【tvb识货专属】准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>全网通正品现货速发,item.taobao.com/item.htm?id=774998207145&ns=1&abbucket=15#detail,774998207145,9人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
圣方数码,6888.00,现货Apple/苹果 <span class=H>iPhone</span><span class=H>15</span>Pro苹果<span class=H>15</span>Promax手机<span class=H>iPhone</span><span class=H>15</span>plus全网通,item.taobao.com/item.htm?id=771697686233&ns=1&abbucket=15#detail,771697686233,0人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
宏丽数码企业店,5999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全新原封支持移动联通电信全网通5G手机,item.taobao.com/item.htm?id=768620912288&ns=1&abbucket=15#detail,768620912288,0人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
利基通讯,4630.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 美行正版 无锁5G毫米波手机 全新正品 现货,item.taobao.com/item.htm?id=750427160316&ns=1&abbucket=15#detail,750427160316,6人付款,广东 珠海,0,0,0,1,0,A16 仿生芯片,4800万,20W,
京品SMART,4880.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 灵动岛 5G全网通 双卡双待 国行 原装正品,item.taobao.com/item.htm?id=740010008857&ns=1&abbucket=15#detail,740010008857,2人付款,广东 深圳,0,0,1,0,1,A16 仿生芯片,4800万,20W,
果粉臻选,6248.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 5G手机全网通国行正品 苹果<span class=H>15</span> Pro Max,item.taobao.com/item.htm?id=775987087491&ns=1&abbucket=15#detail,775987087491,8人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
苹果福利社,4800.00,2023款 <span class=H>iPhone</span> <span class=H>15</span> Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 福利社国行正品,item.taobao.com/item.htm?id=656692211719&ns=1&abbucket=15#detail,656692211719,5人付款,北京,0,0,0,0,0,A16 仿生芯片,4800万,20W,
成都长庚通讯,5569.00,苹果<span class=H>15</span>plus可分期付款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行正品5G手机,item.taobao.com/item.htm?id=739782719097&ns=1&abbucket=15#detail,739782719097,2人付款,四川 成都,0,0,1,0,0,A16 仿生芯片,4800万,20W,
信圆手机数码,5999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 手机,item.taobao.com/item.htm?id=773429118552&ns=1&abbucket=15#detail,773429118552,1000+人付款,北京,0,0,1,0,0,A16 仿生芯片,4800万,20W,
乐幼数码,4358.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 苹果<span class=H>15</span>ProMax国行苹果<span class=H>15</span>plus苹果<span class=H>15</span>pro手机,item.taobao.com/item.htm?id=777204636905&ns=1&abbucket=15#detail,777204636905,16人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
正品数码通讯,6560.00,苹果<span class=H>15</span>pro新款原封机新品现货<span class=H>iphone</span><span class=H>15</span>手机苹果<span class=H>15</span>por系列<span class=H>15</span>promax,item.taobao.com/item.htm?id=733861551350&ns=1&abbucket=15#detail,733861551350,2人付款,福建 福州,1,0,1,0,0,A17 Pro 芯片,4800万,40W,
七分钟数码,5888.00,正品现货Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus5G苹果<span class=H>15</span>ProMax全网通 <span class=H>15</span>手机,item.taobao.com/item.htm?id=775439751087&ns=1&abbucket=15#detail,775439751087,0人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
淘宝珍库3C数码馆,4678.00,准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通 国行正品 现货速发,item.taobao.com/item.htm?id=772155240016&ns=1&abbucket=15#detail,772155240016,1人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
凯运手机3C数码企业店,4690.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新品5G手机全新原装正品全网通国行苹果<span class=H>15</span>,item.taobao.com/item.htm?id=763741860991&ns=1&abbucket=15#detail,763741860991,0人付款,江苏 苏州,0,0,0,0,0,A16 仿生芯片,4800万,20W,
乐自由数码专营店,8067.83,新品/【24期免息】Apple/苹果<span class=H>iPhone</span> <span class=H>15</span>Pro全网通5G苹果手机原装国行官方正品,detail.tmall.com/item.htm?id=738922534155&ns=1&abbucket=15,738922534155,1人付款,广东 深圳,1,0,1,0,0,A17 Pro 芯片,4800万,,6.1英寸
乐自由数码专营店,5778.63,新品/赠送90天碎屏险【24期免息】Apple/苹果<span class=H>iPhone</span> <span class=H>15</span> 全网通5G手机原装国行正品高刷游戏拍照手机,detail.tmall.com/item.htm?id=738635524789&ns=1&abbucket=15,738635524789,1人付款,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800万,,6.1英寸
惠享购数码企业店,5999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全新原封支持移动联通电信全网通5G手机,item.taobao.com/item.htm?id=772640725891&ns=1&abbucket=15#detail,772640725891,1人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
第e酷数码,6469.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行正品全新未拆封未激活苹果手机,item.taobao.com/item.htm?id=739169237333&ns=1&abbucket=15#detail,739169237333,500+人付款,浙江 杭州,1,0,1,0,0,A16 仿生芯片,4800万,20W,
杭州朗朗数码苹果实体,4750.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新品5G手机全新原装新品现货已到当天发货,item.taobao.com/item.htm?id=739723064397&ns=1&abbucket=15#detail,739723064397,25人付款,浙江 杭州,1,0,1,0,0,A16 仿生芯片,4800万,20W,
浙江苹果源销售服务中心,5449.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 6.7寸正品5G手机 国行原封 现货即发,item.taobao.com/item.htm?id=739847999350&ns=1&abbucket=15#detail,739847999350,13人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
重庆风雨通讯,4810.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 苹果<span class=H>15</span> 国行正品  6.1寸 <span class=H>iphone</span><span class=H>15</span> 国行,item.taobao.com/item.htm?id=740400731174&ns=1&abbucket=15#detail,740400731174,8人付款,重庆,0,0,1,0,1,A16 仿生芯片,4800万,20W,
领域数码通讯,5498.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 2023新款苹果<span class=H>15</span>plus手机6.7英寸,item.taobao.com/item.htm?id=738984401622&ns=1&abbucket=15#detail,738984401622,26人付款,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800万,20W,
水清清数码 100期金牌卖家反欺诈联盟,4789.00,【全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新品5G手机全新实体店原装正品,item.taobao.com/item.htm?id=739776730179&ns=1&abbucket=15#detail,739776730179,11人付款,重庆,0,0,0,0,0,A16 仿生芯片,4800万,20W,
花海手机通讯店,9499.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通2023新品5G手机,item.taobao.com/item.htm?id=747622596468&ns=1&abbucket=15#detail,747622596468,1000+人付款,北京,0,0,1,0,0,A16 仿生芯片,4800万,20W,
炫和科技,5499.00,2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行正品5G手机原封<span class=H>iphone</span><span class=H>15</span>,item.taobao.com/item.htm?id=739009594584&ns=1&abbucket=15#detail,739009594584,3人付款,陕西 西安,1,0,1,0,1,A16 仿生芯片,4800万,20W,
赛信数码,4328.00,【香菇宠粉嘉年华】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新款5G双卡手机 全网通,item.taobao.com/item.htm?id=776033767813&ns=1&abbucket=15#detail,776033767813,15人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
一加数码城,4398.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max全网通5G手机国行 苹果<span class=H>15</span> Pro,item.taobao.com/item.htm?id=770407404247&ns=1&abbucket=15#detail,770407404247,16人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
北京聚美特数码,6668.00,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 5G手机 <span class=H>15</span>promax原色国行正品现货,item.taobao.com/item.htm?id=738829189213&ns=1&abbucket=15#detail,738829189213,2人付款,北京,0,0,1,0,1,A17 Pro 芯片,4800万,20W,
强盛手机企业店,14999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,item.taobao.com/item.htm?id=742992405496&ns=1&abbucket=15#detail,742992405496,100+人付款,上海,1,0,1,0,0,A16 仿生芯片,4800万,20W,
果壹数码,8499.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro,item.taobao.com/item.htm?id=755189193727&ns=1&abbucket=15#detail,755189193727,1000+人付款,上海,0,0,0,0,0,A17 Pro 芯片,4800万,20W,
仙童数码,9999.00,【88VIP】Apple/苹果<span class=H>iPhone</span> <span class=H>15</span> Pro Max全网通5G手机原装国行正品,item.taobao.com/item.htm?id=772103416852&ns=1&abbucket=15#detail,772103416852,67人付款,江苏 南京,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
飞致科技公司企业店,6200.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 官方正品5G手机直降新款国行全新官网正品,item.taobao.com/item.htm?id=775034491767&ns=1&abbucket=15#detail,775034491767,2人付款,浙江 衢州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
恩载数码,7999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus,item.taobao.com/item.htm?id=769960499905&ns=1&abbucket=15#detail,769960499905,10人付款,浙江 金华,0,0,1,0,0,A16 仿生芯片,4800万,20W,
果壹数码,5999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,item.taobao.com/item.htm?id=775324944779&ns=1&abbucket=15#detail,775324944779,43人付款,北京,0,0,1,0,0,A16 仿生芯片,4800万,20W,
祺欣数码优品,4699.00,准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通 国行正品 现货速发,item.taobao.com/item.htm?id=775904804111&ns=1&abbucket=15#detail,775904804111,0人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
毛小豆数码店,5999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>智能手机 国行正品,item.taobao.com/item.htm?id=769154726216&ns=1&abbucket=15#detail,769154726216,1人付款,河南 郑州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
三晋四方,14999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 2023新款苹果<span class=H>15</span>plus手机6.7英寸,item.taobao.com/item.htm?id=773945370196&ns=1&abbucket=15#detail,773945370196,11人付款,北京,0,0,1,0,0,A16 仿生芯片,4800万,22.5W,
仁勋科技,6999.00,【全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus全网通5G手机原装国行,item.taobao.com/item.htm?id=774718655172&ns=1&abbucket=15#detail,774718655172,95人付款,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800万,20W,
三晋四方,15999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行官方正品苹果<span class=H>15</span>原封正品,item.taobao.com/item.htm?id=773960677994&ns=1&abbucket=15#detail,773960677994,34人付款,北京,0,0,1,0,0,A16 仿生芯片,4800万,22.5W,
小五数码,8439.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max官方正品5G手机国行全网通2023新品,item.taobao.com/item.htm?id=769818707038&ns=1&abbucket=15#detail,769818707038,6人付款,北京,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
衢州糖豹,6400.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新款5G智能手机<span class=H>iphone</span><span class=H>15</span>全网通百亿补贴官方,item.taobao.com/item.htm?id=775679819936&ns=1&abbucket=15#detail,775679819936,0人付款,江苏 常州,0,0,0,0,0,A16 仿生芯片,4800万,20W,
果园数码商城,5999.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>支持移动联通电信5G 双卡双待手机,item.taobao.com/item.htm?id=758748943388&ns=1&abbucket=15#detail,758748943388,0人付款,北京,0,0,1,0,0,A16 仿生芯片,4800万,20W,
新耀严选,4679.00,准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通 国行正品 现货速发,item.taobao.com/item.htm?id=773442425956&ns=1&abbucket=15#detail,773442425956,0人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
丰悦数码,6236.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max 5G手机 全网通国行正品苹果<span class=H>15</span> Pro,item.taobao.com/item.htm?id=778142632999&ns=1&abbucket=15#detail,778142632999,34人付款,广东 广州,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
人从众通讯,4538.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>苹果<span class=H>15</span>plus国行<span class=H>iphone</span><span class=H>15</span> plus手机<span class=H>iphone</span><span class=H>15</span>,item.taobao.com/item.htm?id=778579962596&ns=1&abbucket=15#detail,778579962596,21人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
机缘通讯,4280.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行正品全网通5G手机苹果<span class=H>15</span>全国联保,item.taobao.com/item.htm?id=778461817630&ns=1&abbucket=15#detail,778461817630,31人付款,广东 深圳,0,0,1,1,0,A16 仿生芯片,4800万,20W,
万拓科技,4330.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行正品<span class=H>15</span> Plus全国联保全网通苹果5G手机,item.taobao.com/item.htm?id=778093147156&ns=1&abbucket=15#detail,778093147156,13人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,18W,
机多多科技,4280.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 新款国行正品全网通5G手机苹果<span class=H>15</span>系列,item.taobao.com/item.htm?id=778380102117&ns=1&abbucket=15#detail,778380102117,29人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
武汉洋帆科技,5549.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 5G手机 6.7英寸双卡双待国行正品现货,item.taobao.com/item.htm?id=739933888213&ns=1&abbucket=15#detail,739933888213,2人付款,湖北 武汉,0,0,1,0,1,A16 仿生芯片,4800万,20W,
3C数码产品博主,5599.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,item.taobao.com/item.htm?id=762637340438&ns=1&abbucket=15#detail,762637340438,2人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
创行数码,7558.00,正品Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max原装国行苹果<span class=H>15</span>Promax手机5G,item.taobao.com/item.htm?id=772650551676&ns=1&abbucket=15#detail,772650551676,6人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
亚盛手机数码,4729.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行正品全新未拆封未激活顺丰现货手机,item.taobao.com/item.htm?id=774473856772&ns=1&abbucket=15#detail,774473856772,0人付款,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800万,20W,
7号手机铺子,4658.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行原封2023年全新正品 双卡5G手机,item.taobao.com/item.htm?id=778343871595&ns=1&abbucket=15#detail,778343871595,0人付款,山东 济南,1,0,1,0,0,A16 仿生芯片,4800万,20W,
7号手机铺子,6559.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 全网通5G手机新品原装国行官方正品,item.taobao.com/item.htm?id=778609589230&ns=1&abbucket=15#detail,778609589230,0人付款,山东 济南,1,0,1,0,0,A17 Pro 芯片,4800万,20W,
